  id            u            v       length      demanda           CS           CA   oneway     status
 238   2654864289   2654864288    76.386455    50.842825     0.611092     0.229159    False  undefined
 239   2654864289   2654864290    71.403690    47.526296     0.571230     0.214211    False  undefined
 240   2654864289   2477827462    42.252454    28.123233     0.338020     0.126757    False  undefined
 241   2654864290   2654864289    71.403690    47.526296     0.571230     0.214211    False  undefined
 242   2654864290   2477827480    15.484956    10.306786     0.123880     0.046455    False  undefined
 243   2654864290   2477827486    42.813038    28.496358     0.342504     0.128439    False  undefined
 244   2654864291   2654864292    60.426608    40.219950     0.483413     0.181280    False  undefined
 245   2654864291   2654864294    56.467991    37.585095     0.451744     0.169404    False  undefined
 246   2654864291   2477827480    48.750615    32.448410     0.390005     0.146252    False  undefined
 247   2654864292   2654864291    60.426608    40.219950     0.483413     0.181280    False  undefined
 248   2654864292   2654864293    29.110832    19.376170     0.232887     0.087332    False  undefined
 249   2654864292   2654864295    54.626494    36.359395     0.437012     0.163879    False  undefined
 250   2654864293   2477805853    26.780880    17.825354     0.214247     0.080343    False  undefined
 251   2654864293   2654864292    29.110832    19.376170     0.232887     0.087332    False  undefined
 252   2654864293   2477827495    44.926231    29.902899     0.359410     0.134779    False  undefined
 253   2654864294   2477805862    48.272403    32.130112     0.386179     0.144817    False  undefined
 254   2654864294   2654864291    56.467991    37.585095     0.451744     0.169404    False  undefined
 255   2654864294   2654864295    43.880611    29.206935     0.351045     0.131642    False  undefined
 256   2654864295   2654864292    54.626494    36.359395     0.437012     0.163879    False  undefined
 257   2654864295   2654864294    43.880611    29.206935     0.351045     0.131642    False  undefined
 258   2654864295   2654864296    29.581643    19.689542     0.236653     0.088745    False  undefined
 259   2654864296   2477805853    28.068797    18.682591     0.224550     0.084206    False  undefined
 260   2654864296   2477805868    44.457463    29.590887     0.355660     0.133372    False  undefined
 261   2654864296   2654864295    29.581643    19.689542     0.236653     0.088745    False  undefined
 262   3185224646   2591412698    39.650633    26.391461     0.317205     0.118952    False  undefined
 263   3185224646   2477827249    22.307807    14.848076     0.178462     0.066923     True  undefined
 264   2302899238   1237124340    18.470737    12.294122     0.147766     0.055412    False  undefined
 265   2302899238   2477827529   227.274869   151.274153     1.818199     0.681825     True  undefined
 266   2302899238   2477827535    76.555832    50.955562     0.612447     0.229667    False  undefined
 267   2477827143   2477831977   229.233234   152.577641     1.833866     0.687700    False  undefined
 268   2477827143   2477827158   136.902381    91.122225     1.095219     0.410707    False  undefined
 269   2477827143   2477831965   173.263791   115.324380     1.386110     0.519791    False  undefined
 270   2477827144   2477827148    26.239473    17.464993     0.209916     0.078718    False  undefined
 271   2477827148   2477827144    26.239473    17.464993     0.209916     0.078718    False  undefined
 272   2477827148   2477827174   112.886850    75.137488     0.903095     0.338661    False  undefined
 273   2477827148   2477827170   166.246482   110.653658     1.329972     0.498739    False  undefined
 274   2477827155   2477831982    41.921062    27.902659     0.335368     0.125763    False  undefined
 275   2477827155   2477827156    99.599822    66.293641     0.796799     0.298799    False  undefined
 276   2477827155   2477827171    74.640963    49.681025     0.597128     0.223923    False  undefined
 277   2477827156   2477831982    83.313293    55.453328     0.666506     0.249940    False  undefined
 278   2477827156   2477827155    99.599822    66.293641     0.796799     0.298799    False  undefined
