  id   u     v       length       demanda         CS           CA       oneway  status
 297   59   221   104.799171    69.754329     0.838393     0.314398    False  undefined
 298   59   222    73.193741    48.717754     0.585550     0.219581    False  undefined
 299   59   56   100.889959    67.152357     0.807120     0.302670    False  undefined
 300   59   64   105.760483    70.394177     0.846084     0.317281    False  undefined
 301   60   62    18.301621    12.181559     0.146413     0.054905    False  undefined
 302   60   50   116.488509    77.534752     0.931908     0.349466    False  undefined
 303   61   72    99.751257    66.394436     0.798010     0.299254    False  undefined
 304   61   53   159.777726   106.348054     1.278222     0.479333    False  undefined
 305   61   68   227.983745   151.745981     1.823870     0.683951    False  undefined
 306   62   60    18.301621    12.181559     0.146413     0.054905    False  undefined
 307   62   63    44.232882    29.441406     0.353863     0.132699     True  undefined
 308   62   75   126.773157    84.380213     1.014185     0.380319    False  undefined
 309   63       1    19.220850    12.793398     0.153767     0.057663     True  undefined
 310   63   105   464.381890   309.092586     3.715055     1.393146    False  undefined
 311   64   250    31.399096     0.000000     0.251193     0.094197    False   passagem
 312   64   57    74.717261    49.731809     0.597738     0.224152    False  undefined
 313   64   66    15.893110     0.000000     0.127145     0.047679    False   passagem
 314   64   59   105.760483    70.394177     0.846084     0.317281    False  undefined
 315   64       2   124.568040    82.912488     0.996544     0.373704     True  undefined
 316   65   179    85.966851    57.219536     0.687735     0.257901    False  undefined
 317   65   182   119.973936    79.854652     0.959791     0.359922    False  undefined
 318   65   189    85.037880    56.601213     0.680303     0.255114    False  undefined
 319   65   190   202.717316   134.928645     1.621739     0.608152    False  undefined
 320   66   250    18.268103    12.159250     0.146145     0.054804     True  undefined
 321   66   64    15.893110     0.000000     0.127145     0.047679    False   passagem
 322   66   98   390.393128   259.845666     3.123145     1.171179     True  undefined
 323   67   56    93.663126    62.342177     0.749305     0.280989    False  undefined
 324   67   222    63.673938    42.381373     0.509392     0.191022     True  undefined
 325   68   71    21.013353    13.986487     0.168107     0.063040    False  undefined
 326   68   54   142.083027    94.570463     1.136664     0.426249    False  undefined
 327   68   61   227.983745   151.745981     1.823870     0.683951    False  undefined
 328   69   67    22.651602    15.076906     0.181213     0.067955     True  undefined
 329   69   70    10.903945     0.000000     0.087232     0.032712    False   passagem
 330   70   69    10.903945     0.000000     0.087232     0.032712    False   passagem
 331   70   73   115.105443    76.614183     0.920844     0.345316     True  undefined
 332   70   85   153.727934   102.321313     1.229823     0.461184    False  undefined
 333   71   68    21.013353    13.986487     0.168107     0.063040    False  undefined
 334   71   76    49.525095    32.963903     0.396201     0.148575    False  undefined
 335   71   79    97.204889    64.699574     0.777639     0.291615    False  undefined
 336   72   61    99.751257    66.394436     0.798010     0.299254    False  undefined
 337   72   69   115.263774    76.719568     0.922110     0.345791     True  undefined
 338   72   73    11.220870     7.468611     0.089767     0.033663    False  undefined
 339   73   72    11.220870     7.468611     0.089767     0.033663    False  undefined
 340   73   74   114.495870    76.208451     0.915967     0.343488     True  undefined
 341   73   101   249.431191   166.021400     1.995450     0.748294    False  undefined
 342   74   275    11.572781     0.000000     0.092582     0.034718    False   passagem
 343   74   78   112.473889    74.862621     0.899791     0.337422     True  undefined
 344   74   104   240.525320   160.093653     1.924203     0.721576    False  undefined
 345   75   106   322.748394   214.821331     2.581987     0.968245    False  undefined
 346   75   62   126.773157    84.380213     1.014185     0.380319    False  undefined
 347   75   80   134.570451    89.570092     1.076564     0.403711    False  undefined
 348   76   275   113.549047    75.578246     0.908392     0.340647     True  undefined
 349   76   71    49.525095    32.963903     0.396201     0.148575    False  undefined
 350   76   78    10.107837     0.000000     0.080863     0.030324    False   passagem
 351   77   185    77.752640    51.752158     0.622021     0.233258    False  undefined
 352   77   192    28.000803    18.637334     0.224006     0.084002    False  undefined
 353   77   194    16.350406    10.882830     0.130803     0.049051    False  undefined
 354   78   16   235.037660   156.441067     1.880301     0.705113    False  undefined
 355   78   76    10.107837     0.000000     0.080863     0.030324    False   passagem
 356   78   197   117.767624    78.386130     0.942141     0.353303     True  undefined
 357   79   71    97.204889    64.699574     0.777639     0.291615    False  undefined
 358   79   76    80.045602    53.278353     0.640365     0.240137     True  undefined
 359   80   93   151.313975     0.000000     1.210512     0.453942    False   passagem
 360   80   93   215.825099   143.653186     1.726601     0.647475    False  undefined
 361   80   115   347.952320   231.597064     2.783619     1.043857    False  undefined
 362   80   75   134.570451    89.570092     1.076564     0.403711    False  undefined
 363   81   83    11.899163     0.000000     0.095193     0.035697    False   passagem
 364   81   246    47.483947    31.605315     0.379872     0.142452    False  undefined
 365   81   247    78.213084    52.058629     0.625705     0.234639     True  undefined
 366   82   91   102.716233    68.367925     0.821730     0.308149    False  undefined
 367   82   189    82.110533    54.652771     0.656884     0.246332    False  undefined
 368   82   192    94.716781    63.043490     0.757734     0.284150    False  undefined
 369   82   206   202.366247   134.694974     1.618930     0.607099    False  undefined
 370   83   81    11.899163     0.000000     0.095193     0.035697    False   passagem
 371   83   203   115.168183    76.655943     0.921345     0.345505     True  undefined
 372   83   207    86.576482    57.625306     0.692612     0.259729    False  undefined
 373   84   86    11.358976     0.000000     0.090872     0.034077    False   passagem
 374   84   202   116.261839    77.383880     0.930095     0.348786     True  undefined
 375   85   250   253.971569   169.043476     2.031773     0.761915     True  undefined
 376   85   70   153.727934   102.321313     1.229823     0.461184    False  undefined
 377   86   242    33.618405    22.376410     0.268947     0.100855    False  undefined
 378   86   84    11.358976     0.000000     0.090872     0.034077    False   passagem
 379   86   88   113.370238    75.459230     0.906962     0.340111     True  undefined
 380   87   88    11.655040     0.000000     0.093240     0.034965    False   passagem
 381   87   204    92.025934    61.252462     0.736207     0.276078     True  undefined
 382   88   87    11.655040     0.000000     0.093240     0.034965    False   passagem
 383   88   90   112.527044    74.898001     0.900216     0.337581     True  undefined
 384   88   126   240.509568   160.083169     1.924077     0.721529    False  undefined
 385   89   87   110.971480    73.862617     0.887772     0.332914     True  undefined
 386   89   90    11.483656     0.000000     0.091869     0.034451    False   passagem
 387   89   194   115.408534    76.815920     0.923268     0.346226    False  undefined
 388   90   89    11.483656     0.000000     0.091869     0.034451    False   passagem
 389   90   92   116.290867    77.403201     0.930327     0.348873     True  undefined
 390   90   121   179.769434   119.654536     1.438155     0.539308    False  undefined
 391   91   82   102.716233    68.367925     0.821730     0.308149    False  undefined
 392   91   89   115.911420    77.150641     0.927291     0.347734     True  undefined
 393   91   92    11.395416     0.000000     0.091163     0.034186    False   passagem
 394   92   262    80.486492    53.571809     0.643892     0.241459     True  undefined
 395   92   91    11.395416     0.000000     0.091163     0.034186    False   passagem
 396   92   113   119.215318    79.349715     0.953723     0.357646    False  undefined
 397   93   80   151.313975     0.000000     1.210512     0.453942    False   passagem
 398   93   80   215.825099   143.653186     1.726601     0.647475    False  undefined
 399   93   115   239.752315   159.579141     1.918019     0.719257    False  undefined
 400   94    9   112.012465     0.000000     0.896100     0.336037    False   passagem
 401   94   220   138.606511     0.000000     1.108852     0.415820    False   passagem
 402   95   218    44.241337    29.447034     0.353931     0.132724     True  undefined
 403   95   99    30.926742     0.000000     0.247414     0.092780     True   passagem
 404   96   85   125.397380    83.464496     1.003179     0.376192     True  undefined
 405   96   98    13.569126     0.000000     0.108553     0.040707    False   passagem
 406   97   219     4.361867     0.000000     0.034895     0.013086     True   passagem
