  id            u            v           CA      demanda           CS       length   oneway     status
 361          234           98     0.190017    42.158438     0.506712    63.339000     True    servico
 362          235          227     0.184719    40.982989     0.492584    61.573000     True    servico
 363          235          150     0.059454     0.000000     0.158544    19.818000     True   passagem
 364            9          171     0.206781    45.877811     0.551416    68.927000     True    servico
 365            9           86     0.449766    99.788083     1.199376   149.922000     True    servico
 366          137            9     1.189518   263.914394     3.172048   396.506000     True    servico
 367          137            8     0.292482    64.892006     0.779952    97.494000     True    servico
 368          137          136     0.199638    44.293018     0.532368    66.546000    False    servico
 369          145          188     0.108117    23.987558     0.288312    36.039000     True    servico
 370          145          229     0.106557    23.641446     0.284152    35.519000     True    servico
 371          262          198     0.477549   105.952205     1.273464   159.183000     True    servico
 372          262          244     0.691158   153.344922     1.843088   230.386000     True    servico
 373          263           79     0.211758    46.982042     0.564688    70.586000     True    servico
 374          263           64     0.348264    77.268173     0.928704   116.088000     True    servico
 375          179          264     0.335337    74.400102     0.894232   111.779000     True    servico
 376          179          236     0.545772   121.088614     1.455392   181.924000    False    servico
 377          179          254     0.502467   111.480678     1.339912   167.489000    False    servico
 378          238          265     0.123666    27.437363     0.329776    41.222000     True    servico
 379          238          220     0.490518   108.829594     1.308048   163.506000     True    servico
 380          157          264     0.529539   117.487053     1.412104   176.513000     True    servico
 381          157          236     0.355719    78.922189     0.948584   118.573000     True    servico
 382          253          245     0.409155    90.777856     1.091080   136.385000    False    servico
 383          253          252     0.218433    48.463002     0.582488    72.811000    False    servico
 384          253          266     0.346722    76.926054     0.924592   115.574000    False    servico
 385          253          267     0.639981   141.990451     1.706616   213.327000    False    servico
 386           54          173     0.393717    87.352678     1.049912   131.239000     True    servico
 387           54          255     0.495807   110.003046     1.322152   165.269000     True    servico
 388           17          175     0.522921   116.018739     1.394456   174.307000     True    servico
 389           17           25     0.210447    46.691174     0.561192    70.149000     True    servico
 390          267          140     0.346743    76.930714     0.924648   115.581000     True    servico
 391          267          253     0.639981   141.990451     1.706616   213.327000    False    servico
 392           97          235     0.125598    27.866010     0.334928    41.866000     True    servico
 393           97          234     0.208035    46.156032     0.554760    69.345000     True    servico
 394          261           92     0.370929    82.296781     0.989144   123.643000     True    servico
 395          261          109     0.521334   115.666637     1.390224   173.778000     True    servico
 396          247          167     0.203223    45.088410     0.541928    67.741000     True    servico
 397          247          263     0.583638   129.489818     1.556368   194.546000     True    servico
 398          268          269     0.249630    55.384576     0.665680    83.210000    False    serviço
 399          268          183     0.235707    52.295526     0.628552    78.569000     True    servico
 400          270          271     0.143901    31.926835     0.383736    47.967000     True    servico
 401          270          238     0.542277   120.313190     1.446072   180.759000     True    servico
 402           72           51     0.116640    25.878528     0.311040    38.880000    False    servico
 403           72           90     0.137289    30.459853     0.366104    45.763000    False    servico
 404           72          160     0.245880    54.552576     0.655680    81.960000    False    servico
 405          269          272     0.221520    49.147904     0.590720    73.840000    False    servico
 406          269          268     0.249630    55.384576     0.665680    83.210000    False    serviço
 407          269          185     0.220191    48.853043     0.587176    73.397000    False    servico
 408          220          273     0.240375    53.331200     0.641000    80.125000     True     BR-356
 409          274          170     0.298863    66.307738     0.796968    99.621000     True    servico
 410          274          177     0.786591   174.518323     2.097576   262.197000     True    servico
 411          275          195     0.480177   106.535270     1.280472   160.059000    False    servico
 412          275          194     0.159162    35.312742     0.424432    53.054000     True     BR-356
 413          276           33     0.457746   101.558579     1.220656   152.582000     True    servico
 414          276           32     0.096216    21.347123     0.256576    32.072000     True    servico
 415          277           49     0.937614   208.025293     2.500304   312.538000     True    servico
 416          160           72     0.245880    54.552576     0.655680    81.960000    False    servico
 417          160          277     0.416475    92.401920     1.110600   138.825000     True    servico
 418          222          251     0.320898    71.196570     0.855728   106.966000     True    servico
 419          222          278     0.258171    57.279539     0.688456    86.057000     True    servico
 420          185          269     0.220191    48.853043     0.587176    73.397000    False    servico
 421          185          196     0.237363    52.662938     0.632968    79.121000     True    servico
 422          266          253     0.346722    76.926054     0.924592   115.574000    False    servico
 423          266          279     0.318324    70.625485     0.848864   106.108000    False    servico
 424          266          244     0.422229    93.678541     1.125944   140.743000     True    servico
 425          127          280     0.475638   105.528218     1.268368   158.546000     True    servico
 426          127          275     0.132435    29.382912     0.353160    44.145000     True     BR-356
 427          265          193     0.126162    27.991142     0.336432    42.054000     True    servico
